,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_HI,VAL_HI,Score_HI,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AM,VAL_AM,Score_AM,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_M,TOT_HBREPORTED_SEX_F,TOT_HBREPORTED_DIS_M,TOT_HBREPORTED_DIS_F,TOT_HBREPORTED_RAC_M,TOT_HBREPORTED_RAC_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_SATACT,TOT_ENR,AVG_ENR,VAL_SAT
74900,RHODE ISLAND,RI,East Providence,Emma G. Whiteknact School,11,5,,,,5,2,,,,2,2,0,0,26,17,98,83,20,23,162,132,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74901,RHODE ISLAND,RI,East Providence,Edward Martin Middle,26,20,,,,8,8,,,,2,8,0,0,56,50,248,245,29,14,369,345,-9,-9,-9,-9,-9,-9,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74902,RHODE ISLAND,RI,East Providence,Myron J. Francis Elementary,5,8,,,,2,2,,,,5,2,0,0,14,23,173,146,20,11,219,192,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74903,RHODE ISLAND,RI,Exeter-West Greenwich,Wawaloam School,5,2,,,,0,0,,,,2,5,0,0,2,2,137,155,2,0,148,164,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74904,RHODE ISLAND,RI,Exeter-West Greenwich,Metcalf School,5,5,,,,0,0,,,,2,2,0,2,0,2,218,209,2,0,227,220,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74905,RHODE ISLAND,RI,Exeter-West Greenwich,Mildred E. Lineham School,2,0,,,,0,0,,,,0,2,0,0,2,2,29,23,0,0,33,27,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-18,,,
74906,RHODE ISLAND,RI,Exeter-West Greenwich,Exeter-West Greenwich Reg. Jr.,8,5,,,,0,0,,,,2,2,0,0,2,0,152,119,0,2,164,128,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74907,RHODE ISLAND,RI,Exeter-West Greenwich,Exeter-West Greenwich Regional,14,8,22,0.099804305,5,0,0,0,0.142857143,5,5,2,2,0,2,2,239,233,2,2,264,247,Yes,6,23,29,50,59,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,109,511,73,0.213307241
74908,RHODE ISLAND,RI,Foster,Capt. Isaac Paine El. School,2,5,,,,0,2,,,,2,0,0,0,0,2,155,116,0,0,159,125,-9,-9,-9,-9,-9,-9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,,,
74909,RHODE ISLAND,RI,Foster-Glocester,Ponaganset High School,0,0,0,0.142857143,5,2,0,2,0.13982684,5,8,8,0,0,2,2,329,293,8,8,349,311,Yes,12,90,88,50,58,2,2,0,0,2,0,2,2,2,0,0,0,100,14,38,0,2,0,2,0,0,0,0,0,0,0,0,0,108,660,94.28571429,0.163636364
