,Unnamed: 0,LEA_STATE_NAME,LEA_STATE,LEA_NAME,SCH_NAME,SCH_APENR_IND,SCH_APCOURSES,TOT_APENR_M,TOT_APENR_F,TOT_SATACT_M,TOT_SATACT_F,TOT_HBREPORTED_SEX_F,TOT_HBDISCIPLINED_SEX_M,TOT_HBDISCIPLINED_SEX_F,TOT_HBDISCIPLINED_RAC_M,TOT_HBDISCIPLINED_RAC_F,TOT_HBDISCIPLINED_DIS_M,TOT_HBDISCIPLINED_DIS_F,TOT_DISCWODIS_ISS_M,TOT_DISCWODIS_ISS_F,TOT_DISCWDIS_ISS_IDEA_M,TOT_DISCWDIS_ISS_IDEA_F,TOT_DISCWODIS_ARR_M,TOT_DISCWODIS_ARR_F,TOT_DISCWDIS_ARR_IDEA_M,TOT_DISCWDIS_ARR_IDEA_F,TOT_DISCWODIS_EXPWE_M,TOT_DISCWODIS_EXPWE_F,TOT_DISCWODIS_EXPWOE_M,TOT_DISCWODIS_EXPWOE_F,TOT_DISCWDIS_EXPWOE_IDEA_M,TOT_DISCWDIS_EXPWOE_IDEA_F,TOT_DISCWDIS_EXPZT_IDEA_M,TOT_DISCWDIS_EXPZT_IDEA_F,TOT_ENR,AVG_ENR,TOT_SATACT,VAL_SAT,VAL_WH,VAL_BL,VAL_HP,VAL_TR,VAL_HI,VAL_AS,VAL_AM,VAL_RACE,RACE_SCORE,VAL_GENDER,GENDER_SCORE,VAL_AP_COURSES,AP_SCORE,VAL_SATACT_COURSES,SATACT_SCORE,COURSES_SCORE,TOT_ARR,TOT_EXP,TOT_HARR,TOT_SUSP,VAL_OFFENSES,OFFENSES_SCORE,SCHOOL_SCORE,Race,Value,Gender,GenderValue
30,7123,CALIFORNIA,CA,Corona-Norco Unified,Eastvale Elementary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,189.57142857142858,0,0.0,0.05458068683388954,0.04715254602217678,0.06523845408547746,0.13984282484659274,0.23996124448272152,0.09753471848422865,0.13984282484659274,0.11202189994309707,5,0.024868123587038434,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,4,SCH_ENR_AS,319,TOT_ENR_M,647
31,73154,PENNSYLVANIA,PA,Lower Dauphin SD,South Hanover El Sch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,53.0,0,0.0,0.7008086253369272,0.1078167115902965,0.14285714285714285,0.11590296495956873,0.09973045822102426,0.09164420485175202,0.14285714285714285,0.20023103581055063,4,0.02425876010781671,5,0.0,5,0.0,5,5,0,0,0,0,0.0,1,3,SCH_ENR_AS,19,TOT_ENR_M,181
32,81229,TEXAS,TX,CROWLEY ISD,J A HARGRAVE EL,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,7,2,0,0,0,0,0,2,0,0,0,0,0,0,515,73.57142857142857,0,0.0,0.0651872399445215,0.38918169209431347,0.13897364771151177,0.11761442441054092,0.19694868238557559,0.1292649098474341,0.13509015256588072,0.1674658212799683,5,0.02524271844660194,5,0.0,5,0.0,5,5,0,2,0,31,3.5,1,4,SCH_ENR_AS,7,TOT_ENR_M,251
33,59592,NEW YORK,NY,NEW YORK CITY PUBLIC SCHOOLS,PS 160 WALT DISNEY,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,-5,-5,-5,-5,0,0,0,0,0,0,0,0,423,60.42857142857143,0,0.0,0.11921648091860858,0.4623438027693346,0.14285714285714285,0.12630867950016886,0.17865585950692334,0.11921648091860858,0.13340087808172915,0.18314276065035942,5,0.09219858156028368,5,0.0,5,0.0,5,5,-10,0,0,2,-3.8,1,4,SCH_ENR_AS,10,TOT_ENR_M,231
34,21521,FLORIDA,FL,OSCEOLA,RENAISSANCE CHARTER SCHOOL AT POINCIANA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,154.0,0,0.0,0.05009276437847866,0.02504638218923933,0.1391465677179963,0.11688311688311688,0.4424860853432282,0.12244897959183673,0.1391465677179963,0.14789292340312749,5,0.03896103896103896,5,0.0,5,0.0,5,5,0,0,0,4,0.4,4,4,SCH_ENR_AS,22,TOT_ENR_M,560
35,86707,TEXAS,TX,STAFFORD MSD,STAFFORD EL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,108.28571428571429,0,0.0,0.0900866943083302,0.23840934790802865,0.14021862042970223,0.1217489634376178,0.31756502073124765,0.0663399924613645,0.1375800980022616,0.1588498196112218,5,0.018469656992084433,5,0.0,5,0.0,5,5,0,0,0,9,0.9,1,4,SCH_ENR_AS,58,TOT_ENR_M,386
36,49686,MISSOURI,MO,LUTIE R-VI,LUTIE HIGH,No,0,0,0,2,7,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,77,11.0,9,0.11688311688311688,0.8051948051948052,0.11688311688311688,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11688311688311688,0.23005565862708718,4,0.012987012987012988,5,0.0,5,0.11688311688311688,1,5,0,0,0,10,1.0,1,3,SCH_ENR_AS,0,TOT_ENR_M,38
37,96082,WYOMING,WY,Laramie County School District #1,Dildine Elementary,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,66.85714285714286,0,0.0,0.6156898656898656,0.1214896214896215,0.14285714285714288,0.08943833943833945,0.0003052503052502966,0.12789987789987792,0.13431013431013433,0.17599860457003316,5,0.038461538461538464,5,0.0,5,0.0,5,5,0,0,6,0,1.7999999999999998,1,4,SCH_ENR_AS,7,TOT_ENR_M,225
38,16839,COLORADO,CO,Strasburg School District 31J,STRASBURG HIGH SCHOOL,Yes,2,8,8,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,313,44.714285714285715,74,0.2364217252396166,0.7229575536284801,0.13646736649931537,0.14285714285714285,0.13646736649931537,0.03423094477407577,0.1300775901414879,0.14285714285714285,0.2065593010367086,4,0.03514376996805112,5,0.051118210862619806,1,0.2364217252396166,2,1,0,4,0,0,0.8,2,3,SCH_ENR_AS,4,TOT_ENR_M,151
39,73279,PENNSYLVANIA,PA,Milton Area SD,Milton Area MS,0,0,0,0,0,0,2,4,0,7,0,0,0,29,10,16,2,0,2,4,0,2,2,0,0,0,0,0,0,471,67.28571428571429,0,0.0,0.7446163178647255,0.08977858659387324,0.14285714285714288,0.13436457385501974,0.09614801334546559,0.14285714285714288,0.1386108583560813,0.21274751938992156,4,0.040339702760084924,5,0.0,5,0.0,5,5,2,4,11,39,8.8,1,3,SCH_ENR_AS,0,TOT_ENR_M,245
